"Skjemanavn";"Navn i Rapporteket";"Ledetekst";"Obligatorisk";"Type";"Listeverdier";"Listetekst";"Normalintervall start numerisk";"Normalintervall slutt numerisk";"Maksintervall start numerisk";"Maksintervall slutt numerisk";"Normalintervall start dato";"Normalintervall slutt dato";"Maksintervall start dato";"Maksintervall slutt dato";"Antall tegn";"Lovlige tegn";"Desimaler";"Aktiveringsspørsmål";"Underspørsmål";"Innført dato";"Utfaset dato";"Tabell";"Fysisk feltnavn";"Kommentar";"Variabel ID";"Hjelpetekst"
"Personopplysninger";"DatoinhOppl";"Dato for innhenting av opplysninger";"Ja";"Datovariabel";"";"";"";"";"";"";"";"";"01.01.1980";"today";;;;"Nei";"Nei";"01.01.1980";"";"patient";"REGISTERED_DATE";;"PATIENT_REGISTERED_DATE";"Skriv inn dato for innhentings tidspunkt for opplysninger. Dato skrives på formatet yyyymmdd. Skriver du inn kun dag (dd), så autfylles nåværende måned og år. Skriver du inn måned og dato (mmdd), så autofylles nåværende år. Eksempel: For dato 23.11.1980 er følgende verdier gyldig: 801123, eller 19801123, eller 1980-11-23"
"Personopplysninger";"Fdato";"Fødselsdato";"Ja";"Datovariabel";"";"";"";"";"";"";"";"";"01.01.1900";"today";;;;"Nei";"Nei";"01.01.1980";"";"patient";"BIRTH_DATE";;"PATIENT_BIRTH_DATE";"Pasientens fødselsdato. Dato skrives på formatet yyyymmdd. Skriver du inn kun dag (dd), så autfylles nåværende måned og år. Skriver du inn måned og dato (mmdd), så autofylles nåværende år. Eksempel: For dato 23.11.1980 er følgende verdier gyldig: 801123, eller 19801123, eller 1980-11-23"
"Personopplysninger";"Kjonn";"Kjønn";"Ja";"Listevariabel";1;"Mann";"";"";"";"";"";"";"";"";;;;"Nei";"Nei";"01.01.1980";"";"patient";"GENDER";;"PATIENT_GENDER";"Angi pasientens kjønn"
"Personopplysninger";"Kjonn";"Kjønn";"Ja";"Listevariabel";2;"Kvinne";"";"";"";"";"";"";"";"";;;;"Nei";"Nei";"01.01.1980";"";"patient";"GENDER";;"PATIENT_GENDER";"Angi pasientens kjønn"
"Personopplysninger";"SkrSamtykke";"Skriftlig samtykke";"Nei";"Listevariabel";"0";"Nei";"";"";"";"";"";"";"";"";;;;"Ja";"Nei";"01.01.1980";"";"patient";"CONSENT";;"PATIENT_CONSENT";"Velg nei bare dersom samtykke ikke er innhentet og det på det aktuelle tidspunktet burde vært innhentet. I påvente av innhenting - la feltet stå tomt."
"Personopplysninger";"SkrSamtykke";"Skriftlig samtykke";"Nei";"Listevariabel";1;"Ja";"";"";"";"";"";"";"";"";;;;"Ja";"Nei";"01.01.1980";"";"patient";"CONSENT";;"PATIENT_CONSENT";"Velg nei bare dersom samtykke ikke er innhentet og det på det aktuelle tidspunktet burde vært innhentet. I påvente av innhenting - la feltet stå tomt."
"Personopplysninger";"DatoinhSamt";"Dato for innhentet samtykke";"Nei";"Datovariabel";"";"";"";"";"";"";"";"";"01.01.1980";"today";;;;"Nei";"Ja";"01.01.1980";"";"patient";"CONSENT_DATE";;"PATIENT_CONSENT_DATE";"Skriv inn dato for innhentings tidspunkt for samtykke. Dato skrives på formatet yyyymmdd. Skriver du inn kun dag (dd), så autfylles nåværende måned og år. Skriver du inn måned og dato (mmdd), så autofylles nåværende år. Eksempel: For dato 23.11.1980 er følgende verdier gyldig: 801123, eller 19801123, eller 1980-11-23"
"Personopplysninger";"ManglSamt";"Type manglende samtykke";"Nei";"Listevariabel";1;"Aktivt";"";"";"";"";"";"";"";"";;;;"Nei";"Ja";"01.01.1980";"";"patient";"NOCONSENT_REASON";;"PATIENT_NOCONSENT_REASON";"TODO: Her bør det definitivt være en god hjelpetekst"
"Personopplysninger";"ManglSamt";"Type manglende samtykke";"Nei";"Listevariabel";2;"Passivt";"";"";"";"";"";"";"";"";;;;"Nei";"Ja";"01.01.1980";"";"patient";"NOCONSENT_REASON";;"PATIENT_NOCONSENT_REASON";"TODO: Her bør det definitivt være en god hjelpetekst"
"Personopplysninger";"ManglSamt";"Type manglende samtykke";"Nei";"Listevariabel";3;"Ikke spurt";"";"";"";"";"";"";"";"";;;;"Nei";"Ja";"01.01.1980";"";"patient";"NOCONSENT_REASON";;"PATIENT_NOCONSENT_REASON";"TODO: Her bør det definitivt være en god hjelpetekst"
"Personopplysninger";"ManglSamt";"Type manglende samtykke";"Nei";"Listevariabel";4;"Tilbaketrukket samtykke";"";"";"";"";"";"";"";"";;;;"Nei";"Ja";"01.01.1980";"";"patient";"NOCONSENT_REASON";;"PATIENT_NOCONSENT_REASON";"TODO: Her bør det definitivt være en god hjelpetekst"
"Personopplysninger";"DatoTrektSamt";"Samtykke trekt dato";"Nei";"Datovariabel";"";"";"";"";"";"";"";"";"01.01.1980";"today";;;;"Nei";"Ja";"01.01.1980";"";"patient";"CONSENT_WITHDRAW_DATE";;"PATIENT_CONSENT_WITHDRAW_DATE";"Skriv inn dato når samtykke ble trekt. Dato skrives på formatet yyyymmdd. Skriver du inn kun dag (dd), så autfylles nåværende måned og år. Skriver du inn måned og dato (mmdd), så autofylles nåværende år. Eksempel: For dato 23.11.1980 er følgende verdier gyldig: 801123, eller 19801123, eller 1980-11-23"
"Personopplysninger";"Avdod";"Avdød";"Ja";"Listevariabel";"0";"Nei";"";"";"";"";"";"";"";"";;;;"Ja";"Nei";"01.01.1980";"";"patient";"DECEASED";;"PATIENT_DECEASED";"Er personen avdød eller ikke. Døde personers forløp vil stenges og oppfølging avbrytes."
"Personopplysninger";"Avdod";"Avdød";"Ja";"Listevariabel";1;"Ja";"";"";"";"";"";"";"";"";;;;"Ja";"Nei";"01.01.1980";"";"patient";"DECEASED";;"PATIENT_DECEASED";"Er personen avdød eller ikke. Døde personers forløp vil stenges og oppfølging avbrytes."
"Personopplysninger";"Ddato";"Dødsdato";"Ja";"Datovariabel";"";"";"";"";"";"";"";"";"01.01.1980";"today";;;;"Nei";"Ja";"01.01.1980";"";"patient";"DECEASED_DATE";;"PATIENT_DECEASED_DATE";"Skriv inn dato for dødsfall. Dato skrives på formatet yyyymmdd. Skriver du inn kun dag (dd), så autfylles nåværende måned og år. Skriver du inn måned og dato (mmdd), så autofylles nåværende år. Eksempel: For dato 23.11.1980 er følgende verdier gyldig: 801123, eller 19801123, eller 1980-11-23"
"Personopplysninger";"Adrtype";"Adressetype";"Nei";"Listevariabel";1;"Norsk";"";"";"";"";"";"";"";"";;;;"Ja";"Nei";"01.01.1980";"";"patient";"ADDR_TYPE";;"PATIENT_ADDR_TYPE";"Er det en vanlig enkel norsk postadresse velg type 1, hvis ikke velg type 2 for fritekstadressefelt."
"Personopplysninger";"Adrtype";"Adressetype";"Nei";"Listevariabel";2;"Annet";"";"";"";"";"";"";"";"";;;;"Ja";"Nei";"01.01.1980";"";"patient";"ADDR_TYPE";;"PATIENT_ADDR_TYPE";"Er det en vanlig enkel norsk postadresse velg type 1, hvis ikke velg type 2 for fritekstadressefelt."
"TO";"HenvistDato";"Henvist dato";"Ja";"Datovariabel";"";"";"";"";"";"";"";"";"01.01.1980";"today";;;;"Nei";"Nei";"01.01.1980";"";"mce";"REFERRAL_DATE";;"MCE_REFERRAL_DATE";"Skriv inn dato da pasienten ble henvist (eller bruk kalender) . Dato skrives på formatet yyyymmdd. Skriver du inn kun dag (dd), så autfylles nåværende måned og år. Skriver du inn måned og dato (mmdd), så autofylles nåværende år. Eksempel: For dato 23.11.1980 er følgende verdier gyldig: 801123, eller 19801123, eller 1980-11-23"
